id	name	metabolites	compartments	annotation	reversibility
10FTHF5GLUtl	5-glutamyl-10FTHF transport, lysosomal	{'10fthf5glu_c': -1.0, '10fthf5glu_l': 1.0}	{'C_l', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94668'}	True
10FTHF5GLUtm	5-glutamyl-10FTHF transport, mitochondrial	{'10fthf5glu_m': -1.0, '10fthf5glu_c': 1.0}	{'C_m', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94668'}	True
10FTHF6GLUtl	6-glutamyl-10FTHF transport, lysosomal	{'10fthf6glu_c': -1.0, '10fthf6glu_l': 1.0}	{'C_l', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94669'}	True
10FTHF6GLUtm	6-glutamyl-10FTHF transport, mitochondrial	{'10fthf6glu_m': -1.0, '10fthf6glu_c': 1.0}	{'C_m', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94669'}	True
10FTHF7GLUtl	7-glutamyl-10FTHF transport, lysosomal	{'10fthf7glu_c': -1.0, '10fthf7glu_l': 1.0}	{'C_l', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94670'}	True
10FTHF7GLUtm	7-glutamyl-10FTHF transport, mitochondrial	{'10fthf7glu_m': -1.0, '10fthf7glu_c': 1.0}	{'C_m', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94670'}	True
10FTHFGLULL	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	{'10fthf_c': -1.0, 'atp_c': -1.0, 'glu__L_c': -1.0, '10fthfglu__L_c': 1.0, 'adp_c': 1.0, 'pi_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'ec-code': '6.3.2.17', 'metanetx.reaction': 'MNXR137935'}	True
10FTHFGLULLm	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	{'10fthf_m': -1.0, 'atp_m': -1.0, 'glu__L_m': -1.0, '10fthfglu__L_m': 1.0, 'adp_m': 1.0, 'pi_m': 1.0}	{'C_m'}	{'sbo': 'SBO:0000176', 'ec-code': '6.3.2.17', 'metanetx.reaction': 'MNXR137935'}	True
10FTHFtc	10-Formyltetrahydrofolateapicoplast transport	{'10fthf_c': -1.0, '10fthf_h': 1.0}	{'C_h', 'C_c'}	{'sbo': 'SBO:0000185'}	True
10FTHFtl	10-Formyltetrahydrofolate lysosomal transport via diffusion	{'10fthf_c': -1.0, '10fthf_l': 1.0}	{'C_l', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94672'}	True
