species	parameter	value	min	max
bh	bh_expA_mumax	0.676296301295828	0.1	2.0
bh	bh_expA_pHopt	5.337955841677436	5.0	8.0
bh	bh_expA_pHalpha	60.67414521210356	10.0	400.0
bh	bh_expB_mumax	1.9958702502289472	0.1	2.0
bh	bh_expB_pHopt	6.403584767710354	5.0	8.0
bh	bh_expB_pHalpha	49.33029111500258	10.0	400.0
bh	bh_z1_r	2.9365996127961314e-05	0.0	3.0
bh	bh_z2_r	0.050104021373138796	0.0	3.0
bh	bh_z3_r	0.03671068467473376	0.0	3.0
bh	bh_z4_r	2.707285305954057	0.0	3.0
bh	bh_monod_trehalose	9.67270863873026	0.1	10.0
bh	bh_monod_pyruvate	0.30473179192405786	0.1	10.0
bh	bh_monod_glucose	0.6052914077539607	0.1	10.0
bh	bh_monod_glutamate	0.10060044366681528	0.1	10.0
bh	bh_expA_ft1_trehalose_g	1.0263868241859109	0.0	10.0
bh	bh_expA_ft1_acetate_g	-6.705303701339079	-10.0	0.0
bh	bh_expA_ft1_lactate_g	-1.879123876439655	-10.0	0.0
bh	bh_expA_ft2_pyruvate_g	1.2224810170071305	0.0	10.0
bh	bh_expA_ft2_acetate_g	-0.9329174071324537	-10.0	0.0
bh	bh_expB_ft3_glucose_g	2.0745646536112137	0.0	10.0
bh	bh_expB_ft3_glutamate_g	0.9170133656662	0.0	10.0
bh	bh_expB_ft3_acetate_g	-2.479285809092713	-10.0	0.0
bh	glutamate_conc	1.0275743560791595	0.0	10.0
bh	bh_z1_t1	0.10000676640280887	0.1	2.0
bh	bh_z1_t2	2.760952052087275	0.0001	10.0
bh	bh_z1_h1	8.409368518397034	0.0001	10.0
bh	bh_z1_h2	0.09216537580073739	0.0001	10.0
bh	bh_z3_t1	0.07505584558723004	0.0001	1.0
bh	bh_z3_t2	0.00023306512111686932	0.0001	1.0
bh	bh_z3_h1	0.030092652100094642	0.0001	10.0
bh	bh_z3_h2	9.716282387552978	0.0001	10.0
