time	experiment	replicate	live
0	bhri	A	0.00159
4	bhri	A	0.00107
8	bhri	A	0.00424
12	bhri	A	0.0066
16	bhri	A	0.0164
20	bhri	A	0.0163
24	bhri	A	0.0328
28	bhri	A	0.1008
32	bhri	A	0.0413
36	bhri	A	0.0627
48	bhri	A	0.6398
60	bhri	A	3.3886
72	bhri	A	2.5093
96	bhri	A	3.5974
120	bhri	A	3.1082
0	bhri	B	0.00188
4	bhri	B	0.00066
8	bhri	B	0.00536
12	bhri	B	0.013
16	bhri	B	0.0093
20	bhri	B	0.0211
24	bhri	B	0.0347
28	bhri	B	0.1158
32	bhri	B	0.0438
36	bhri	B	0.0882
48	bhri	B	1.0557
60	bhri	B	3.2744
72	bhri	B	2.7117
96	bhri	B	4.3246
120	bhri	B	3.7208
0	bhri	C	0.00026
4	bhri	C	0.00088
8	bhri	C	0.00403
12	bhri	C	0.0042
16	bhri	C	0.0087
20	bhri	C	0.0141
24	bhri	C	0.0141
28	bhri	C	0.0792
32	bhri	C	0.0424
36	bhri	C	0.0916
48	bhri	C	0.2821
60	bhri	C	2.5561
72	bhri	C	2.3262
96	bhri	C	2.8854
120	bhri	C	3.7163
0	bhbt	A	0.00134
4	bhbt	A	0.00182
8	bhbt	A	0.0018
12	bhbt	A	0.00375
16	bhbt	A	0.0037
20	bhbt	A	0.008
24	bhbt	A	0.07925
28	bhbt	A	0.1004
32	bhbt	A	0.0696
36	bhbt	A	0.07705
40	bhbt	A	0.13205
44	bhbt	A	0.17995
48	bhbt	A	0.3753
60	bhbt	A	2.52125
72	bhbt	A	2.03655
96	bhbt	A	2.5842
120	bhbt	A	3.4045
0	bhbt	B	0.00143
4	bhbt	B	0.00135
8	bhbt	B	0.00305
12	bhbt	B	0.00375
16	bhbt	B	0.00495
20	bhbt	B	0.00615
24	bhbt	B	0.0199
28	bhbt	B	0.07595
32	bhbt	B	0.08895
36	bhbt	B	0.0987
40	bhbt	B	0.076
44	bhbt	B	0.03155
48	bhbt	B	0.20245
60	bhbt	B	2.98565
72	bhbt	B	2.30905
96	bhbt	B	2.67285
120	bhbt	B	3.3957
0	bhbt	C	0.00154
4	bhbt	C	0.00257
8	bhbt	C	0.0025
12	bhbt	C	0.00375
16	bhbt	C	0.00595
20	bhbt	C	0.0065
24	bhbt	C	0.01285
28	bhbt	C	0.0256
32	bhbt	C	0.08415
36	bhbt	C	0.07185
40	bhbt	C	0.06275
44	bhbt	C	0.06935
48	bhbt	C	0.062
60	bhbt	C	1.5161
72	bhbt	C	2.09635
96	bhbt	C	2.21305
120	bhbt	C	2.47585
0	bhbtri	A	0.00117
4	bhbtri	A	0.00164
8	bhbtri	A	0.0035
12	bhbtri	A	0.0042
16	bhbtri	A	0.0038
20	bhbtri	A	0.0025
24	bhbtri	A	0.0155
28	bhbtri	A	0.0308
32	bhbtri	A	0.0016
36	bhbtri	A	0.0189
40	bhbtri	A	0.0014
44	bhbtri	A	0.0038
48	bhbtri	A	0.0048
60	bhbtri	A	2.6582
72	bhbtri	A	2.4169
96	bhbtri	A	2.7468
120	bhbtri	A	2.844
0	bhbtri	B	0.00143
4	bhbtri	B	0.00152
8	bhbtri	B	0.0046
12	bhbtri	B	0.0036
16	bhbtri	B	0.0055
20	bhbtri	B	0.0084
24	bhbtri	B	0.014
28	bhbtri	B	0.0319
32	bhbtri	B	0.0014
36	bhbtri	B	0.0206
40	bhbtri	B	0.0022
44	bhbtri	B	0.0025
48	bhbtri	B	0.0111
60	bhbtri	B	2.5047
72	bhbtri	B	2.6171
96	bhbtri	B	2.529
120	bhbtri	B	2.7393
