geneID	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_00001	46	45	22	7	6	10
RUMHYD_00002	51207.185	37552.025	13918	7620	5729	7250
RUMHYD_00004	13	26	22	3	0	12
RUMHYD_00005	71	116	35	7	4	11
RUMHYD_00007	0	0	0	0	0	0
RUMHYD_00006	175	908	305	75	13	123
RUMHYD_00008	139.673	616.04	167	61	42	284.02
RUMHYD_00009	277.327	1226.96	677	46	34	122.195
RUMHYD_00010	93	343	203.973	23	50	196.8
RUMHYD_00011	107	303.983	139.027	34.587	17	169.985
RUMHYD_00012	181	627.017	324	59.793	42	173
RUMHYD_00013	468	1733	766	74.62	77	196
RUMHYD_00014	2537.705	2146.672	2952.746	9	33	51
RUMHYD_00015	1428.295	1077.328	1620.254	3	8	15
RUMHYD_00016	0	0	1	0	0	0
RUMHYD_00017	5631	4536	6115	68	92	69
RUMHYD_00018	2974	9635.388	8504	229	270	537
RUMHYD_00019	695	767	275	320	132	117
RUMHYD_00020	2315	2321	3837	69	73	65
RUMHYD_00021	984	250	593.01	46	65	118
RUMHYD_00022	638	399	460	57	29	155
RUMHYD_00023	473	325	305	26	13	149.774
RUMHYD_00024	507	391	493	20	22	80.226
RUMHYD_00025	756	663	630	61	36	189
RUMHYD_00026	1674	1194	1366	44	33	196
RUMHYD_00027	182	60	103	18	3	114
RUMHYD_00028	604	632.972	670	29	38	39
RUMHYD_00029	14	20.028	23	0	0	0
RUMHYD_00030	210	122	194	8	9	49
RUMHYD_00031	1669	2217	2608	88	49	41
RUMHYD_00032	3	2	4	0	0	6
RUMHYD_00033	2	0	0	0	0	2
RUMHYD_00034	8	8	7	1	0	3
RUMHYD_00035	6196	2082	3634	126	100	235
RUMHYD_00036	43431.378	40314	33537	1722	1144	830
RUMHYD_00037	1924	4185	2839	57	71	16
RUMHYD_00038	1262.085	767	1369	80.481	50	101
RUMHYD_00039	738	310	897	38.519	28	209.451
RUMHYD_00040	3143	1039	1770	125	132	213.549
RUMHYD_00041	17754.686	145859.486	50763.169	3782	1949	999
RUMHYD_00042	1708.696	1099.363	2540.042	65	15	39
RUMHYD_00043	1465.72	1665.64	2500.958	61	40	63
RUMHYD_00044	3205	4917	3985	421	244	391
RUMHYD_00045	1212.973	1262	1110	74	63	133
RUMHYD_00046	927.027	1080	971	51	88	88
RUMHYD_00047	58337.985	17013.377	46457	780	632	391
RUMHYD_00048	9	0	9	0	7	0
RUMHYD_00049	39697.755	36457.753	29783	2165.76	1312	1089.674
RUMHYD_00050	203.001	38	189	12.24	10	34.326
RUMHYD_00051	3515	1486	2011	36	22	8
RUMHYD_00052	45.129	18.8	60.852	2	0	2.46
RUMHYD_00053	108.871	69.2	160.148	3	11	12.54
RUMHYD_00054	5	6	9	0	0	5
RUMHYD_00055	7326	3565	6158.657	228	151	333
RUMHYD_00056	37643.502	14711.036	32181.098	753	499	641
RUMHYD_00057	225	572	441	41	42	219
RUMHYD_00058	2354	2148	2197	299	295.864	242
RUMHYD_00059	17797.671	18017	16306	825	817.136	865
RUMHYD_00060	3629.684	2203.464	3766.22	59.264	78	80.108
RUMHYD_00061	5489.293	3239.536	5453.78	185.736	145	324.55
RUMHYD_00062	1998.417	1097.936	1550.601	64	64	133.09
RUMHYD_00063	3274.583	2515.064	2277.399	189	153	266.251
RUMHYD_00064	20410.682	15484	20238	1125	845	698
RUMHYD_00065	7884	2339	7782.341	180	179	151
RUMHYD_00066	4	1	0	6	0	17
RUMHYD_00067	3038.998	3647	1399	451	255	430
RUMHYD_00068	4245	3855	3711	269	142	146.006
RUMHYD_00069	8876.904	7193	10094	552	391	517.994
RUMHYD_00070	20593.245	13818	17480	639	466	538
RUMHYD_00071	5	20	8	0	0	9
RUMHYD_00072	1010	1318	1335	23	14	29
RUMHYD_00073	730	603	598	55	86	368
RUMHYD_00074	5	0	0	0	0	0
RUMHYD_00075	528	1063	815	21	27	34
RUMHYD_00076	3116	4362	5089	288	235	200
RUMHYD_00077	2738.85	4340.395	3187.89	212	176	149
RUMHYD_00078	10145.124	12591.675	13975.11	449	362	292
RUMHYD_00079	1433.81	1974.007	2133.793	65.139	31	16
RUMHYD_00080	11479.364	16634.247	19537.384	444.001	351	163
RUMHYD_00081	12591.506	15282.972	20390.723	290.86	281	249.651
RUMHYD_00082	5766.39	5806.07	7367.119	113	146	99.349
RUMHYD_00083	3827.148	4306.186	5788.828	49	75	69
RUMHYD_00084	2856.557	2596.109	2488.518	55	81	53.99
RUMHYD_00085	1433.646	1074.395	1186.498	33.275	36	41.01
RUMHYD_00086	4281.776	2550.869	3263.431	32.725	70	60.495
RUMHYD_00087	3896.354	1981.463	2984.727	28	57.997	53.505
RUMHYD_00088	4950.677	1184.981	4155.873	48	81.003	38
RUMHYD_00089	261.162	194.883	320.006	9	3	57
RUMHYD_00090	275.381	362.299	359.994	15	4	82
RUMHYD_00091	115.458	129.819	125.478	13	15	47
RUMHYD_00092	79	143	119.522	6.686	6	36
RUMHYD_00093	27	26	39	8.314	6	49
RUMHYD_00094	22	20	13	10	10	68.089
RUMHYD_00095	4	2	9	5	9	77.911
RUMHYD_00096	0	9	5	3	0	46
RUMHYD_00097	5	1	2	0	3	36
RUMHYD_00098	5	3	5	2	10	72.259
RUMHYD_00099	0	7	0	0	0	9.741
RUMHYD_00100	1922	2364	1893	132	129	54
RUMHYD_00101	1081	1177	927	29	23	8
RUMHYD_00102	5398	5186	4455	316	225	184
RUMHYD_00103	2569.909	5847.566	3947.393	229.408	206	128.254
RUMHYD_00104	1033.091	1596.434	1077.607	167.592	84	100.746
RUMHYD_00105	5	1	2	0	4	58
RUMHYD_00106	1	3	0	0	0	14
RUMHYD_00107	3	0	2	2	9	56
RUMHYD_00108	10	24	7	4	1	27
RUMHYD_00109	10	12	7	2	0	33
RUMHYD_00110	10	1	6	0	7	64.388
RUMHYD_00111	9	14.316	26	2	7	56.612
