geneID	patricID	transcriptID	function	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C	l2fc_32_12	adjP_32_12	l2fc_32_72	adjP_32_72
RUMHYD_00546	fig|476272.21.peg.3551	EEG50560	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	4.351588	1.96851	1.920664	16029.67409	20938.53762	15943.8405	475.556139	908.205973	367.262601	-11.95961479	1.68E-182	-4.191239819	1.72E-14
RUMHYD_00547	fig|476272.21.peg.3552	EEG50561	Na(+)-dependent branched-chain amino acid transporter	5.084261	3.482003	2.039764	17409.05998	24847.33279	18734.10599	324.577652	677.257838	271.66518	-11.73375268	1.10E-161	-4.889233993	1.46E-19
RUMHYD_00551	fig|476272.21.peg.3556	EEG50508	"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)"	0.987695	0.678089	0.566473	6490.833879	13613.49327	7245.174216	797.472063	1582.267713	656.228508	-12.87669901	1.78E-156	-2.472039923	3.41E-05
RUMHYD_00550	fig|476272.21.peg.3555	EEG50507	"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)"	3.123294	1.192695	0.839608	13534.18945	23518.13374	15440.48224	627.375852	1451.854757	478.15386	-12.61359815	1.26E-135	-3.672427271	5.46E-10
RUMHYD_00553	fig|476272.21.peg.3558	EEG50510	hypothetical protein TM1757	1.722444	0.307063	1.920703	3611.757366	3740.152929	2936.957172	201.666644	420.619158	180.703778	-10.6552203	8.60E-90	-2.987792845	1.63E-08
RUMHYD_00548	fig|476272.21.peg.3553	EEG50505	Na(+)-dependent branched-chain amino acid transporter	3.048187	0	5.544859	8289.718141	11345.34618	5148.418324	278.822282	411.865151	171.582426	-10.59968835	1.72E-54	-4.199834079	1.03E-12
RUMHYD_00554	fig|476272.21.peg.3559	EEG50511	Branched-chain acyl kinase	1.727176	5.311122	5.721544	2235.988827	2982.506636	1441.32411	171.456626	318.121446	111.879757	-8.239838612	4.57E-49	-2.732254794	6.82E-06
RUMHYD_00174	fig|476272.21.peg.3180	EEG50880	"ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)"	21.866749	19.514977	15.494545	936.69213	996.032612	1081.070943	116.754117	217.453092	111.665462	-5.001166389	8.54E-47	-2.030670122	6.02E-05
RUMHYD_01170	fig|476272.21.peg.2517	EEG49929	"Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1)"	49.376896	27.988825	50.125716	2.106667	1.822762	1.996418	8.192154	18.764432	40.084988	5.13198814	4.21E-44	3.982119471	1.99E-12
RUMHYD_00555	fig|476272.21.peg.3560	EEG50512	Phosphate butyryltransferase (EC 2.3.1.19)	12.099626	24.10976	21.031326	2780.286229	4468.089125	2364.429155	413.299181	772.534441	328.80982	-6.607313797	1.41E-41	-1.956486111	0.000830706
