"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RUMHYD_00001"	25.6861111158131	-1.06232153501863	1.03745522990452	0	1	1
"RUMHYD_00002"	12614.8329246449	0.567443641704399	0.261782814254253	0	1	1
"RUMHYD_00004"	13.5982415870383	-0.868791828598073	1.622132951977	0	1	1
"RUMHYD_00005"	13.5413026190884	0.395428050091549	1.21323333373063	0	1	1
"RUMHYD_00007"	0	NA	NA	NA	NA	NA
"RUMHYD_00006"	71.510286324972	5.21117955309813	1.14224421809953	3.24902459061934	0.00115801466987796	0.0172871751714451
"RUMHYD_00008"	129.804949847731	8.07173394162923	1.0995792547603	5.97658960295849	2.27857251097227e-09	2.3075165401657e-07
"RUMHYD_00009"	71.8240269865942	5.05624642202912	1.13862735179401	3.12327507013242	0.00178850511106366	0.024369195095111
"RUMHYD_00010"	94.3241054476419	6.43637869020897	1.0373772713955	4.75851826170092	1.95019251507495e-06	8.30383108407482e-05
"RUMHYD_00011"	74.5562998187764	5.55942849042991	1.09299339592778	3.71404667727573	0.000203971146556599	0.00415369503341074
"RUMHYD_00012"	96.6296043623452	5.2573519455721	0.965784601468826	3.89046578280259	0.000100051985274923	0.00224487897500081
"RUMHYD_00013"	136.690969536912	3.1724306525234	0.598712225504654	2.79337982636601	0.00521604058474431	0.0558414402029626
"RUMHYD_00014"	43.7975731479897	1.93169466544238	1.0039472350257	0.42999736478315	0.667197558120418	1
"RUMHYD_00015"	21.8167125465549	-0.374592085508571	1.12393334091119	0	1	1
"RUMHYD_00016"	0	NA	NA	NA	NA	NA
"RUMHYD_00017"	198.691522240141	-0.33406400952855	0.583861102419253	0	1	1
"RUMHYD_00018"	629.540779161378	0.541229024518466	0.399623742199925	0	1	1
"RUMHYD_00019"	321.39887583019	0.82995237600199	0.469792484391867	0	1	1
"RUMHYD_00020"	127.72758769376	0.649557789630137	0.624270389623711	0	1	1
"RUMHYD_00021"	431.685607082889	-2.06626910716841	0.457800110945299	-1.23693527727447	0.216111111991062	0.93940642300523
"RUMHYD_00022"	205.849505439711	-0.609018660955275	0.58627961710693	0	1	1
"RUMHYD_00023"	105.541444462076	0.506693322720485	0.844713643446134	0	1	1
"RUMHYD_00024"	72.321218438264	0.492125880127769	0.747387384133767	0	1	1
"RUMHYD_00025"	126.728038526273	1.68780887212823	0.639934586262151	0.293481359126442	0.769154245789403	1
"RUMHYD_00026"	122.457146694228	1.58570728007081	0.695373128490431	0.123253655568878	0.901906238427571	1
"RUMHYD_00027"	45.7524934449502	4.04946771327083	1.39244211091649	1.83093264221433	0.0671105974576728	0.412235096186721
"RUMHYD_00028"	66.1443391130606	0.606348500711306	0.674533251676042	0	1	1
"RUMHYD_00029"	0.594693655329202	-1.55979049083104	3.9406358724873	-0.015172802757161	0.98789431942048	1
"RUMHYD_00030"	259.207124211601	-3.3932795047105	0.658884541187738	-2.87346171652104	0.00406000280931007	0.0465803055900652
"RUMHYD_00031"	106.721742850828	0.660313524331282	0.562480732851363	0	1	1
"RUMHYD_00032"	2.40990696945542	1.83628913381738	3.81882408069195	0.0880609126557225	0.929828262826084	1
"RUMHYD_00033"	2.35419800866665	-1.38575559006285	3.16976125689338	0	1	1
"RUMHYD_00034"	4.26020630235916	-1.20192096642011	2.75523943343523	0	1	1
"RUMHYD_00035"	436.044846022719	-0.739898083414704	0.371898448741653	0	1	1
"RUMHYD_00036"	3763.64734652447	-0.794182280796681	0.394590384540314	0	1	1
"RUMHYD_00037"	97.6261822775926	0.529426462705674	0.764401082463104	0	1	1
"RUMHYD_00038"	202.441106022911	-0.550908125555904	0.436089093379392	0	1	1
"RUMHYD_00039"	131.831337033272	1.20152668545099	0.771163189674187	0	1	1
"RUMHYD_00040"	348.540649010683	-0.0460973414928844	0.391785317130745	0	1	1
"RUMHYD_00041"	3143.94671391906	1.94627973765711	0.466450059706509	0.956757810124221	0.338689511599355	1
"RUMHYD_00042"	83.0666899342633	-0.0369273753780874	0.681061310283727	0	1	1
"RUMHYD_00043"	103.165630609779	0.420694077184393	0.585355509298377	0	1	1
"RUMHYD_00044"	750.532504750647	0.0257450792740993	0.308359417811086	0	1	1
"RUMHYD_00045"	168.192079260302	0.422991435443592	0.505236933911657	0	1	1
"RUMHYD_00046"	124.940202715971	1.1662712302863	0.578635297914962	0	1	1
"RUMHYD_00047"	34632.3828568453	-5.63715147457001	0.381991628690609	-10.8304768058697	2.46866479045338e-27	1.02778744109209e-24
"RUMHYD_00048"	4.29386539010986	1.79762348879766	3.19415333973395	0.0931775832723331	0.925762482857613	1
"RUMHYD_00049"	4238.18643780032	-0.598998405336299	0.375431385190474	0	1	1
"RUMHYD_00050"	48.9501666633604	-0.598795011877703	0.829006995812901	0	1	1
"RUMHYD_00051"	1713.55204222186	-6.09396338346876	0.547264110131852	-8.39441742737696	4.68209926526949e-17	1.0964891216853e-14
"RUMHYD_00052"	13.0136916149461	-3.11321535555765	1.54755293913481	-1.04242983536288	0.297212439981247	1
"RUMHYD_00053"	32.0225157235277	-1.08622243952895	0.979845165594189	0	1	1
"RUMHYD_00054"	1.89812735318893	2.24922213366742	3.85252976875449	0.19447536518573	0.845803683214745	1
"RUMHYD_00055"	944.178242475568	-1.45558377605077	0.312796796118282	0	1	1
"RUMHYD_00056"	2840.2718928183	-1.64404020413738	0.250683505913018	-0.574589874243094	0.56556870181059	1
"RUMHYD_00057"	132.558184253698	1.75969752448846	0.745338248082446	0.348429085930566	0.727517962006397	1
"RUMHYD_00058"	773.413970376731	-0.534549475674263	0.346097307667158	0	1	1
"RUMHYD_00059"	2644.65758225645	-0.872708699057294	0.288057655802497	0	1	1
"RUMHYD_00060"	405.054331728554	-1.98908141166239	0.394899438910514	-1.2384960915916	0.215532170392864	0.93890077339504
"RUMHYD_00061"	807.51193485412	-1.30287050327778	0.358589533704334	0	1	1
"RUMHYD_00062"	199.467640967451	-0.180902232243577	0.451399473786316	0	1	1
"RUMHYD_00063"	407.380372318824	0.21823971861282	0.351652685588498	0	1	1
"RUMHYD_00064"	2499.10322846711	-0.597065708744412	0.331926205047553	0	1	1
"RUMHYD_00065"	545.918000654619	-0.881510944690103	0.361735704792526	0	1	1
"RUMHYD_00066"	10.5707662915625	1.17670479920157	2.58348758053916	0	1	1
"RUMHYD_00067"	583.69250109108	1.19224780096155	0.350256720704789	0	1	1
"RUMHYD_00068"	440.317012154834	-0.230261354607516	0.384942246873683	0	1	1
"RUMHYD_00069"	2798.61458837843	-2.09166046415709	0.310439869203029	-1.90587782966157	0.0566660580930865	0.361716728577164
"RUMHYD_00070"	1382.48306813194	-0.371676860873516	0.329514241501559	0	1	1
"RUMHYD_00071"	3.10379954330463	3.32557279776593	3.49852932468678	0.521811489440459	0.601801589242977	1
"RUMHYD_00072"	46.0154428529692	0.0514820946925729	0.756356542091287	0	1	1
"RUMHYD_00073"	248.121910234977	1.25124897413179	0.63499367240755	0	1	1
"RUMHYD_00074"	0	NA	NA	NA	NA	NA
"RUMHYD_00075"	46.5067454522102	0.926104007863041	0.743105545046997	0	1	1
"RUMHYD_00076"	908.990759649313	-1.24314031816637	0.345241983081609	0	1	1
"RUMHYD_00077"	417.67576502493	-0.11116489085944	0.415144715897395	0	1	1
"RUMHYD_00078"	1333.86926403732	-1.15802959239822	0.357083760942367	0	1	1
"RUMHYD_00079"	137.827012233993	-1.22495418781771	0.643664170199098	0	1	1
"RUMHYD_00080"	921.044041061511	-0.604163834832535	0.456642221675253	0	1	1
"RUMHYD_00081"	1406.53706025099	-1.83182612089593	0.326664805009061	-1.0158000366361	0.309724618584888	1
"RUMHYD_00082"	752.708873735349	-2.16003822869838	0.400849879010714	-1.64659705106394	0.0996408969993635	0.549187748457305
"RUMHYD_00083"	982.363602720892	-3.63434722128484	0.421886917226286	-5.05905050414268	4.21349268089986e-07	2.35641150378086e-05
"RUMHYD_00084"	375.010114264192	-2.03935412192718	0.459600868836843	-1.17352720261861	0.240584454777216	1
"RUMHYD_00085"	90.0753186486111	-0.266338721371276	0.56867216383981	0	1	1
"RUMHYD_00086"	246.985303843702	-1.55152540011625	0.500708267471556	-0.102905031659332	0.918038344217915	1
"RUMHYD_00087"	907.917192663436	-3.99788047431793	0.480950721520253	-5.193630787001	2.06231942952115e-07	1.24637272619609e-05
"RUMHYD_00088"	387.388075583895	-2.28419701893717	0.504354357530456	-1.55485326383805	0.119981020303037	0.631416970611626
"RUMHYD_00089"	43.6610738421119	0.0716605722334531	1.02901682362036	0	1	1
"RUMHYD_00090"	46.0400039773976	1.28454473193273	1.03617590849544	0	1	1
"RUMHYD_00091"	30.1608714260478	2.73500381791707	1.02585054189516	1.2038827952808	0.228634882455459	0.975981909402031
"RUMHYD_00092"	19.0376642558221	2.68858505556263	1.55095358419203	0.766357592952613	0.443463558303795	1
"RUMHYD_00093"	24.9131963027487	2.37200331071217	1.257204474878	0.693605000727341	0.487929956799621	1
"RUMHYD_00094"	30.7783048087593	4.41805065947359	1.15262882739131	2.53164816819468	0.0113527841094122	0.100327552023508
"RUMHYD_00095"	32.6623932723446	3.76371883422242	1.46804662889068	1.54199382340667	0.123075094545256	0.643392781195477
"RUMHYD_00096"	15.8130217647726	5.25746897900642	2.23427719556813	1.68173805222542	0.0926196457939766	0.529033251204314
"RUMHYD_00097"	12.8525848122481	6.52635304464685	2.36245449103373	2.1275978283279	0.0333704424466977	0.245174603623091
"RUMHYD_00098"	28.0133344785459	9.38703296206101	1.91152990379921	4.12603169136165	3.69076430712333e-05	0.000960367629082716
"RUMHYD_00099"	3.1354839782343	6.23258483877503	3.9381948614147	1.20171423845568	0.229474262658978	0.975981909402031
"RUMHYD_00100"	747.223504151991	-2.35957034769252	0.493815410592181	-1.7406713708301	0.0817411993552318	0.482337439344966
"RUMHYD_00101"	89.692394403638	-1.53882968949595	0.746157565593007	-0.0520395306386641	0.958497195176017	1
"RUMHYD_00102"	988.605098807643	-1.4159051414191	0.350197370091582	0	1	1
"RUMHYD_00103"	485.756017185622	-0.344011506572296	0.418142355007815	0	1	1
"RUMHYD_00104"	187.963053659944	1.07330024070801	0.495051919283729	0	1	1
"RUMHYD_00105"	20.0960582003935	8.90807280149508	2.3370359230677	3.16985833566945	0.00152513274981961	0.0217920051870413
"RUMHYD_00106"	4.65398586078544	4.04280638439262	3.55394145589669	0.715489102999602	0.474306871894005	1
"RUMHYD_00107"	24.6830904294788	3.38637726688276	1.60955915763831	1.17198380558477	0.241203558039927	1
"RUMHYD_00108"	11.1836281354628	3.49744308253027	1.849006471095	1.0802791194924	0.280017905048297	1
"RUMHYD_00109"	11.5730470726331	4.28362207777259	2.13169724474176	1.30582430719884	0.191612311945778	0.878789881102606
"RUMHYD_00110"	23.41003693231	9.12763611403022	2.23808957928012	3.40810134886721	0.000654165930834427	0.0110412601028676
"RUMHYD_00111"	23.0270437016331	4.25864149723324	1.34623624333887	2.04915111361984	0.0404473406811829	0.279623958546849
"RUMHYD_00112"	12.8465254841337	2.88544358410399	1.88910746644155	0.733385267230827	0.463323482355277	1
"RUMHYD_00113"	7.92779379532876	2.41012843548777	2.67030557997923	0.340833065066227	0.733229256928162	1
"RUMHYD_00114"	16.317740548476	2.73572788519589	1.63161717459346	0.757363862331121	0.44883190018349	1
"RUMHYD_00115"	1.88129038694058	5.50056672383934	3.95879332359881	1.01055205382699	0.312230873578193	1
"RUMHYD_00116"	47.727237904081	-0.47965905157176	0.902891803426081	0	1	1
"RUMHYD_00117"	16.9084942915857	0.435954215757854	1.31401806951166	0	1	1
"RUMHYD_00118"	15.3099618903974	1.77299707356864	1.77620541753931	0.153696791414387	0.877848814802154	1
"RUMHYD_00119"	31.9982063356279	1.9199555484125	1.14366845252793	0.367200430757922	0.71346951803286	1
"RUMHYD_00120"	22.1535655971145	3.32983280095199	1.39908554434927	1.307877712226	0.190914790211129	0.876663871226838
"RUMHYD_00121"	54.5999145863836	4.8595863872932	1.57768256261498	2.12944382279585	0.0332175580414611	0.244530825110717
"RUMHYD_00122"	17.5228678197161	8.71085171719193	1.98093401383516	3.64012716568557	0.000272503425287762	0.00531807465913147
"RUMHYD_00123"	60.557611499751	-0.0123036996937305	0.692977136305122	0	1	1
"RUMHYD_00124"	60.179275038246	0.377776350028614	0.666404258891575	0	1	1
