time	experiment	replicate	trehalose
0	bhri	A	0.794739749
4	bhri	A	0.773659914
8	bhri	A	0.756420765
12	bhri	A	0.6960161
16	bhri	A	0.61620815
20	bhri	A	0.551270545
24	bhri	A	0.209131162
28	bhri	A	0.088377804
32	bhri	A	0.087211782
36	bhri	A	0.087776847
48	bhri	A	0.084744653
60	bhri	A	0.081822251
72	bhri	A	0.081150891
96	bhri	A	0.080934747
120	bhri	A	0.080897475
0	bhri	B	0.791701424
4	bhri	B	0.786084134
8	bhri	B	0.756457186
12	bhri	B	0.694713562
16	bhri	B	0.61620815
20	bhri	B	0.530190921
24	bhri	B	0.094477197
28	bhri	B	0.086240324
32	bhri	B	0.088491546
36	bhri	B	0.086948369
48	bhri	B	0.084384921
60	bhri	B	0.081683253
72	bhri	B	0.081518138
96	bhri	B	0.080586159
120	bhri	B	0.080752958
0	bhri	C	0.798852791
4	bhri	C	0.782912885
8	bhri	C	0.761842345
12	bhri	C	0.699371779
16	bhri	C	0.62601783
20	bhri	C	0.567184382
24	bhri	C	0.477913935
28	bhri	C	0.091980804
32	bhri	C	0.085664649
36	bhri	C	0.086081457
48	bhri	C	0.085494892
60	bhri	C	0.082345961
72	bhri	C	0.084092307
96	bhri	C	0.080472116
120	bhri	C	0.080856549
0	bhbtri	A	0.679544286
4	bhbtri	A	0.675802257
8	bhbtri	A	0.650341335
12	bhbtri	A	0.584877357
16	bhbtri	A	0.510126438
20	bhbtri	A	0.445077669
24	bhbtri	A	0.203074348
28	bhbtri	A	0.086175198
32	bhbtri	A	0.073672595
36	bhbtri	A	0.072920334
40	bhbtri	A	0.071466794
44	bhbtri	A	0.069011178
48	bhbtri	A	0.06562352
60	bhbtri	A	0.064814911
72	bhbtri	A	0.056571948
96	bhbtri	A	0.054438661
120	bhbtri	A	0.05048859
0	bhbtri	B	0.678475739
4	bhbtri	B	0.676638462
8	bhbtri	B	0.645671668
12	bhbtri	B	0.5844117
16	bhbtri	B	0.524128171
20	bhbtri	B	0.455692076
24	bhbtri	B	0.298226327
28	bhbtri	B	0.078592773
32	bhbtri	B	0.072774402
36	bhbtri	B	0.073169889
40	bhbtri	B	0.070384514
44	bhbtri	B	0.06914115
48	bhbtri	B	0.06576012
60	bhbtri	B	0.061935273
72	bhbtri	B	0.05695561
96	bhbtri	B	0.055024683
120	bhbtri	B	0.051747265
0	bhbt	A	0.546575612
4	bhbt	A	0.559352973
8	bhbt	A	0.570218525
12	bhbt	A	0.558500839
16	bhbt	A	0.506852179
20	bhbt	A	0.401487649
24	bhbt	A	0.125836363
28	bhbt	A	0
32	bhbt	A	0
36	bhbt	A	0
40	bhbt	A	0
44	bhbt	A	0
48	bhbt	A	0
60	bhbt	A	0
72	bhbt	A	0
96	bhbt	A	0
120	bhbt	A	0
0	bhbt	B	0.552024571
4	bhbt	B	0.558839656
8	bhbt	B	0.561337835
12	bhbt	B	0.55212289
16	bhbt	B	0.526054514
20	bhbt	B	0.438019594
24	bhbt	B	0.321044295
28	bhbt	B	0
32	bhbt	B	0
36	bhbt	B	0
40	bhbt	B	0
44	bhbt	B	0
48	bhbt	B	0
60	bhbt	B	0
72	bhbt	B	0
96	bhbt	B	0
120	bhbt	B	0
0	bhbt	C	0.570660943
4	bhbt	C	0.558839656
8	bhbt	C	0.569257888
12	bhbt	C	0.566337783
16	bhbt	C	0.521549503
20	bhbt	C	0.442432919
24	bhbt	C	0.375688332
28	bhbt	C	0.273651023
32	bhbt	C	0
36	bhbt	C	0
40	bhbt	C	0
44	bhbt	C	0
48	bhbt	C	0
60	bhbt	C	0
72	bhbt	C	0
96	bhbt	C	0
120	bhbt	C	0
