lactate	acetate	succinate	butyrate	formate	pH
0	2.328052532	0.545986661	0.003717077	0.877290741	6.61
0	2.470455489	0.545986661	0.003717077	0.877290741	6.57
0	2.634319339	0.545986661	0.003717077	0.877290741	6.56
0.09991119	2.6848451	0.545986661	0.003717077	0.877290741	6.52
0	3.157579533	0.545986661	0.003717077	0.877290741	6.48
0	4.113950206	0.545986661	0.003717077	0.877290741	6.48
1.310842056	6.250207897	0.545986661	0.003717077	0.877290741	6.43
0.925842662	11.6021	0.545986661	0.003717077	0.877290741	6.26
1.055333656	18.62870799	0.545986661	0.003717077	0.877290741	5.8
0.979701101	22.36744977	0.545986661	0.003717077	0.877290741	5.43
0.89821778	24.92537634	0.545986661	0.003717077	0.877290741	5.3
0.999369782	26.49087039	0.545986661	0.003717077	0.877290741	5.26
0.895969845	27.18851525	0.545986661	0.003717077	0.877290741	5.25
0.876699031	27.6935777	0.545986661	0.003717077	0.877290741	5.26
1.03679934	27.23929958	0.545986661	0.003717077	0.877290741	5.25
0.686398495	26.18568985	0.545986661	0.003717077	0.877290741	5.25
0.725773001	26.63757569	0.545986661	0.003717077	0.877290741	5.22
0	2.389165122	0.545986661	0.003717077	0.877290741	6.57
0	2.475476496	0.545986661	0.003717077	0.877290741	6.61
0	2.601286741	0.545986661	0.003717077	0.877290741	6.6
0	2.568848466	0.545986661	0.003717077	0.877290741	6.52
0	3.176060444	0.545986661	0.003717077	0.877290741	6.48
0	3.664366359	0.545986661	0.003717077	0.877290741	6.52
0.995755424	4.640279112	0.545986661	0.003717077	0.877290741	6.52
1.331914169	7.285202021	0.545986661	0.003717077	0.877290741	6.35
0.985414669	12.50704829	0.545986661	0.003717077	0.877290741	6.14
0	18.80206928	0.545986661	0.003717077	0.877290741	5.64
1.290259005	22.42065704	0.545986661	0.003717077	0.877290741	5.39
1.224892495	25.21234621	0.545986661	0.003717077	0.877290741	5.26
1.136151174	26.43504762	0.545986661	0.003717077	0.877290741	5.25
1.410225386	27.32628895	0.545986661	0.003717077	0.877290741	5.26
1.096206439	26.72960419	0.545986661	0.003717077	0.877290741	5.3
0.809737737	26.39258486	0.545986661	0.003717077	0.877290741	5.26
0.702514335	26.18016593	0.545986661	0.003717077	0.877290741	5.26
0.161844028	2.365069361	0.545986661	0.003717077	0.877290741	6.61
0	2.475476496	0.545986661	0.003717077	0.877290741	6.65
0	2.449355974	0.545986661	0.003717077	0.877290741	6.56
0	2.608080191	0.545986661	0.003717077	0.877290741	6.52
0	3.102236772	0.545986661	0.003717077	0.877290741	6.48
0	3.343874084	0.545986661	0.003717077	0.877290741	6.52
0.940098396	3.813359715	0.545986661	0.003717077	0.877290741	6.52
1.646593595	5.104833902	0.545986661	0.003717077	0.877290741	6.43
1.324067726	6.971261642	0.545986661	0.003717077	0.877290741	6.4
1.521487792	8.54476194	0.545986661	0.003717077	0.877290741	6.4
1.464934783	13.97542936	0.545986661	0.003717077	0.877290741	6.02
1.571599749	19.13815384	0.545986661	0.003717077	0.877290741	5.6
1.438377607	22.15188276	0.545986661	0.003717077	0.877290741	5.42
1.284053376	26.00700933	0.545986661	0.003717077	0.877290741	5.2
1.008300914	25.15911923	0.545986661	0.003717077	0.877290741	5.3
1.109604199	25.18970464	0.545986661	0.003717077	0.877290741	5.3
1.234857058	24.94698998	0.545986661	0.003717077	0.877290741	5.25
0.263642695	1.940284057	0.545986661	0.003717077	0.877290741	6.65
0.271417918	2.036530418	0.545986661	0.003717077	0.877290741	6.65
0.306391996	2.41559871	0.545986661	0.003717077	0.877290741	6.52
0.521331267	2.678085372	0.545986661	0.003717077	0.877290741	6.57
1.539612849	2.91145455	0.545986661	0.003717077	0.877290741	6.52
2.233787697	3.401074192	0.545986661	0.003717077	0.877290741	6.48
3.173040149	4.649754307	0.545986661	0.003717077	0.877290741	6.35
3.420490777	8.057829065	0.545986661	0.003717077	0.877290741	6.31
3.428088654	13.92413732	0.545986661	0.003717077	0.877290741	5.97
3.340194603	17.94892197	0.545986661	0.003717077	0.877290741	5.67
3.435772077	20.47000391	0.545986661	0.003717077	0.877290741	5.42
3.31749556	22.39251606	0.545986661	0.003717077	0.877290741	5.42
3.221469805	23.43448037	0.545986661	0.003717077	0.877290741	5.38
3.27009325	25.26110885	0.545986661	0.003717077	0.877290741	5.38
3.325510969	24.59557126	0.545986661	0.003717077	0.877290741	5.38
3.152906731	24.99706428	0.545986661	0.003717077	0.877290741	5.33
3.04651421	24.62961672	0.545986661	0.003717077	0.877290741	5.37
0.262779486	1.946812992	0.545986661	0.003717077	0.877290741	6.65
0.273002067	2.045384743	0.545986661	0.003717077	0.877290741	6.65
0.291285591	2.467217689	0.545986661	0.003717077	0.877290741	6.52
0.476765679	2.632070242	0.545986661	0.003717077	0.877290741	6.52
1.408127328	2.933887883	0.545986661	0.003717077	0.877290741	6.52
