id	metabolite	element	atoms
1	glucose	C	6
2	glucose	H	12
3	glucose	O	6
4	pyruvate	C	3
5	pyruvate	H	4
6	pyruvate	O	3
7	trehalose	C	12
8	trehalose	H	22
9	trehalose	O	11
10	succinate	C	4
11	succinate	H	6
12	succinate	O	4
13	lactate	C	3
14	lactate	H	6
15	lactate	O	3
16	formate	C	1
17	formate	H	1
18	formate	O	2
19	acetate	C	2
20	acetate	H	3
21	acetate	O	2
28	butyrate	C	4
29	butyrate	H	6
30	butyrate	O	2
36	mannose	C	6
37	mannose	H	12
38	mannose	O	6
39	glutamate	C	5
40	glutamate	H	9
41	glutamate	N	1
42	glutamate	O	4
