id	name	concentration	minflux	maxflux
cpd00027	D-Glucose	0.001	-100	5
cpd00075	Nitrite	0.001	-100	5
cpd00009	Phosphate	0.001	-100	5
cpd00048	Sulfate	0.001	-100	5
cpd00063	Ca2+	0.001	-100	100
cpd00011	CO2	0.001	-100	0
cpd10516	fe3	0.001	-100	100
cpd00067	H+	0.001	-100	100
cpd00001	H2O	0.001	-100	100
cpd00205	K+	0.001	-100	100
cpd00254	Mg	0.001	-100	100
cpd00971	Na+	0.001	-100	100
cpd00007	O2	0.001	-100	100
cpd00099	Cl-	0.001	-100	100
cpd00058	Cu2+	0.001	-100	100
cpd00149	Co2+	0.001	-100	100
cpd00030	Mn2+	0.001	-100	100
cpd00034	Zn2+	0.001	-100	100
cpd10515	Fe2+	0.001	-100	100
cpd15432	LipidA	0.001	-100	100
cpd15560	Ubiquinone-8	0.001	-100	100
