reactionID	name	string	trehalose	pyruvate	glucose	gene	function	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C	l2fc_32_12	adjP_32_12	l2fc_32_72	adjP_32_72
23DHMPO	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase	(R)-2,3-Dihydroxy-3-methylpentanoate + Nicotinamide adenine dinucleotide phosphate <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate + proton + Nicotinamide adenine dinucleotide phosphate - reduced	0.0	0.0	0.0
						fig|476272.21.peg.2045	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	53646.2020071657	45435.9926727651	53446.7720606906	18103.8317311737	17922.8016729147	26851.6829894157	14965.8207516555	15608.7835061484	7584.23760092748	2722.699308	1736.585322	2388.075953	1421.448743	1255.995479	2112.624369	446.934662	758.050968	440.048557	1.242295454	0.002010972	-0.810300511	0.140092287

26DAPLLAT	L,L-diaminopimelate aminotransferase	LL-2,6-Diaminoheptanedioate + 2-Oxoglutarate <=> L-glutamate(1-) + Water + proton + 2,3,4,5-Tetrahydrodipicolinate	1.0	1.0	1.0
						fig|476272.21.peg.3891	"L,L-diaminopimelate aminotransferase (EC 2.6.1.83)"	3760.56816114813	1583.1872796404	2050.85922870319	647.037439431886	4712.99206396299	1340.22449413233	2341.39127993041	3048.46605393985	1745.9648392379	154.397641	48.930239	74.016295	40.63031	264.183484	84.975083	55.75234	118.451397	80.79915	0.122946724	0.901060326	-0.013439898	0.9897769

2AHBUTI	(S)-2-Aceto-2-hydroxybutanoate isomerase	(S)-2-Aceto-2-hydroxybutanoate <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	0.0	0.0
						fig|476272.21.peg.2045	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	53646.2020071657	45435.9926727651	53446.7720606906	18103.8317311737	17922.8016729147	26851.6829894157	14965.8207516555	15608.7835061484	7584.23760092748	2722.699308	1736.585322	2388.075953	1421.448743	1255.995479	2112.624369	446.934662	758.050968	440.048557	1.242295454	0.002010972	-0.810300511	0.140092287

2MBCOATA	2-methylbutanoyl-CoA[acyl-carrier-protein] transferase	2-methylbutanoyl-CoA(4-) + acyl carrier protein <=> 2-methylbutanoyl-ACP,2-methylbutyryl-ACP + Coenzyme A	0.0	0.0	0.0
						fig|476272.21.peg.2237	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	536.746278225234	784.888209968849	847.40994702395	660.25401235101	330.660046734034	480.891784166048	480.755889766275	244.30215763281	386.189248827715	29.873848	32.904491	41.554371	57.183112	25.557631	41.571938	15.861397	13.084733	24.750784	0.52958683	0.323657782	-0.504778764	0.439587063

3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	(R)-3-Hydroxydecanoyl-[acyl-carrier protein] --> Water + trans-Dec-2-enoyl-[acyl-carrier protein]	0.0	0.0	0.0
