genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
476272.21	Blautia hydrogenotrophica DSM 10507	GG657678	PATRIC	CDS	fig|476272.21.peg.3946		2	124	-	123		hypothetical protein	PLF_572511_00034351	PGF_05354624
476272.21	Blautia hydrogenotrophica DSM 10507	GG657678	PATRIC	CDS	fig|476272.21.peg.3947	RUMHYD_00002	117	3032	-	2916		hypothetical protein	PLF_572511_00035729	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	tRNA	fig|476272.21.rna.59	RUMHYD_00003	97	167	+	71		tRNA-Trp		
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3012	RUMHYD_00004	436	810	-	375		Transposase	PLF_572511_00000030	PGF_09978608
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3013	RUMHYD_00005	896	1210	-	315		hypothetical protein	PLF_572511_00036409	PGF_04423347
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3014	RUMHYD_00006	1948	2940	+	993		hypothetical protein	PLF_572511_00025224	PGF_04988385
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3015	RUMHYD_00008	2965	4461	+	1497		ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	PLF_572511_00059929	PGF_01343909
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3016	RUMHYD_00009	4476	5459	+	984		hypothetical protein	PLF_572511_00032618	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3017	RUMHYD_00010	5471	6514	+	1044	pdxB	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	PLF_572511_00036772	PGF_00012987
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3018	RUMHYD_00011	6580	7524	+	945		Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	PLF_572511_00001200	PGF_00048285
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3019	RUMHYD_00012	7580	9334	+	1755	dhaK	Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	PLF_572511_00005019	PGF_00987218
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3020	RUMHYD_00013	9360	10919	+	1560		hypothetical protein	PLF_572511_00035895	PGF_06106874
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3021	RUMHYD_00014	11074	12537	-	1464		hypothetical protein	PLF_572511_00032985	PGF_04984449
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3022	RUMHYD_00015	12512	13519	-	1008		Two-component system sensor histidine kinase	PLF_572511_00024383	PGF_05739180
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3023	RUMHYD_00017	13644	15233	-	1590		hypothetical protein	PLF_572511_00030625	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3024	RUMHYD_00018	15668	19252	+	3585		Macrolide export ATP-binding/permease protein	PLF_572511_00016617	PGF_00003251
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3025	RUMHYD_00019	19497	19856	+	360		Methyl-accepting chemotaxis protein	PLF_572511_00002558	PGF_00020856
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3026	RUMHYD_00020	19953	21740	-	1788		Sigma-L-dependent transcriptional regulator	PLF_572511_00008535	PGF_00052121
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3027	RUMHYD_00021	22096	23250	+	1155		Alcohol dehydrogenase (EC 1.1.1.1)	PLF_572511_00008118	PGF_03572345
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3028	RUMHYD_00022	23269	24312	+	1044	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	PLF_572511_00007903	PGF_00424447
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3029	RUMHYD_00023	24331	25584	+	1254		hypothetical protein	PLF_572511_00015071	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3030	RUMHYD_00024	25606	26514	+	909	dapA	Dihydrodipicolinate synthase family protein APECO1_1389	PLF_572511_00025394	PGF_00679016
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3031	RUMHYD_00025	26542	27531	+	990	pdxB	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	PLF_572511_00007993	PGF_00012987
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3032	RUMHYD_00026	27562	28893	+	1332		TrkA-C domain protein	PLF_572511_00032774	PGF_05808678
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3033	RUMHYD_00027	29021	29899	+	879		Subclass B3 beta-lactamase (EC 3.5.2.6)	PLF_572511_00032974	PGF_05317282
