id	name	genomeSize	geneNumber	patricID	ncbiID
bt	Bacteroides thetaiotaomicron  VPI-5482	6293399	4816	226186.12	226186
bh	Blautia hydrogenotrophica DSM 10507	3626943	3869	476272.21	476272
ri	Roseburia intestinalis L1-82	4493348	4067	536231.75	536231
