476272.5.peg.1	476272.21.peg.3947.RUMHYD_00002
476272.5.peg.2	476272.21.peg.3012.RUMHYD_00004
476272.5.peg.3	476272.21.peg.3014.RUMHYD_00006
476272.5.peg.4	476272.21.peg.3015.RUMHYD_00008
476272.5.peg.5	476272.21.peg.3016.RUMHYD_00009
476272.5.peg.6	476272.21.peg.3017.RUMHYD_00010
476272.5.peg.7	476272.21.peg.3018.RUMHYD_00011
476272.5.peg.8	476272.21.peg.3019.RUMHYD_00012
476272.5.peg.9	476272.21.peg.3020.RUMHYD_00013
476272.5.peg.10	476272.21.peg.3021.RUMHYD_00014
476272.5.peg.11	476272.21.peg.3022.RUMHYD_00015
476272.5.peg.12	476272.21.peg.3023.RUMHYD_00017
476272.5.peg.13	476272.21.peg.3024.RUMHYD_00018
476272.5.peg.14	476272.21.peg.3025.RUMHYD_00019
476272.5.peg.15	476272.21.peg.3026.RUMHYD_00020
476272.5.peg.17	476272.21.peg.3027.RUMHYD_00021
476272.5.peg.18	476272.21.peg.3028.RUMHYD_00022
476272.5.peg.19	476272.21.peg.3029.RUMHYD_00023
476272.5.peg.20	476272.21.peg.3030.RUMHYD_00024
476272.5.peg.21	476272.21.peg.3031.RUMHYD_00025
476272.5.peg.22	476272.21.peg.3032.RUMHYD_00026
476272.5.peg.23	476272.21.peg.3033.RUMHYD_00027
476272.5.peg.24	476272.21.peg.3034.RUMHYD_00028
476272.5.peg.25	476272.21.peg.3036.RUMHYD_00031
476272.5.peg.26	476272.21.peg.3038.RUMHYD_00033
476272.5.peg.27	476272.21.peg.3039
476272.5.peg.28	476272.21.peg.3040.RUMHYD_00034
476272.5.peg.29	476272.21.peg.3041.RUMHYD_00035
476272.5.peg.30	476272.21.peg.3042.RUMHYD_00036
476272.5.peg.31	476272.21.peg.3043.RUMHYD_00037
476272.5.peg.32	476272.21.peg.3044.RUMHYD_00038
476272.5.peg.33	476272.21.peg.3045.RUMHYD_00039
476272.5.peg.34	476272.21.peg.3046.RUMHYD_00040
476272.5.peg.35	476272.21.peg.3047.RUMHYD_00041
476272.5.peg.36	476272.21.peg.3048.RUMHYD_00042
476272.5.peg.37	476272.21.peg.3049.RUMHYD_00043
476272.5.peg.38	476272.21.peg.3050.RUMHYD_00044
476272.5.peg.39	476272.21.peg.3051.RUMHYD_00045
476272.5.peg.40	476272.21.peg.3052.RUMHYD_00046
476272.5.peg.41	476272.21.peg.3053.RUMHYD_00047
476272.5.peg.42	476272.21.peg.3055.RUMHYD_00049
476272.5.peg.43	476272.21.peg.3057.RUMHYD_00051
476272.5.peg.44	476272.21.peg.3061.RUMHYD_00055
476272.5.peg.45	476272.21.peg.3062.RUMHYD_00056
476272.5.peg.46	476272.21.peg.3063.RUMHYD_00057
476272.5.peg.47	476272.21.peg.3064.RUMHYD_00058
476272.5.peg.48	476272.21.peg.3065.RUMHYD_00059
476272.5.peg.49	476272.21.peg.3066.RUMHYD_00060
476272.5.peg.50	476272.21.peg.3067.RUMHYD_00061
476272.5.peg.51	476272.21.peg.3068.RUMHYD_00062
476272.5.peg.52	476272.21.peg.3069.RUMHYD_00063
476272.5.peg.53	476272.21.peg.3070.RUMHYD_00064
476272.5.peg.54	476272.21.peg.3071.RUMHYD_00065
476272.5.peg.55	476272.21.peg.3073.RUMHYD_00067
476272.5.peg.56	476272.21.peg.3074.RUMHYD_00068
476272.5.peg.57	476272.21.peg.3075.RUMHYD_00069
476272.5.peg.58	476272.21.peg.3076.RUMHYD_00070
476272.5.peg.59	476272.21.peg.3078.RUMHYD_00072
476272.5.peg.60	476272.21.peg.3079.RUMHYD_00073
476272.5.peg.61	476272.21.peg.3081.RUMHYD_00075
476272.5.peg.62	476272.21.peg.3082.RUMHYD_00076
476272.5.peg.63	476272.21.peg.3083.RUMHYD_00077
476272.5.peg.64	476272.21.peg.3084.RUMHYD_00078
476272.5.peg.65	476272.21.peg.3085.RUMHYD_00079
476272.5.peg.66	476272.21.peg.3086.RUMHYD_00080
476272.5.peg.67	476272.21.peg.3087.RUMHYD_00081
476272.5.peg.68	476272.21.peg.3088.RUMHYD_00082
476272.5.peg.69	476272.21.peg.3089.RUMHYD_00083
476272.5.peg.70	476272.21.peg.3090.RUMHYD_00084
476272.5.peg.71	476272.21.peg.3091.RUMHYD_00085
476272.5.peg.72	476272.21.peg.3092.RUMHYD_00086
476272.5.peg.73	476272.21.peg.3093.RUMHYD_00087
476272.5.peg.74	476272.21.peg.3094.RUMHYD_00088
476272.5.peg.75	476272.21.peg.3095.RUMHYD_00089
476272.5.peg.76	476272.21.peg.3096.RUMHYD_00090
476272.5.peg.77	476272.21.peg.3097.RUMHYD_00091
476272.5.peg.78	476272.21.peg.3098.RUMHYD_00092
476272.5.peg.79	476272.21.peg.3099.RUMHYD_00093
476272.5.peg.80	476272.21.peg.3100.RUMHYD_00094
476272.5.peg.81	476272.21.peg.3101.RUMHYD_00095
476272.5.peg.82	476272.21.peg.3102.RUMHYD_00096
476272.5.peg.83	476272.21.peg.3103.RUMHYD_00097
476272.5.peg.84	476272.21.peg.3104.RUMHYD_00098
476272.5.peg.85	476272.21.peg.3108.RUMHYD_00102
476272.5.peg.86	476272.21.peg.3109.RUMHYD_00103
476272.5.peg.87	476272.21.peg.3111.RUMHYD_00105
476272.5.peg.88	476272.21.peg.3112.RUMHYD_00106
476272.5.peg.89	476272.21.peg.3113.RUMHYD_00107
476272.5.peg.90	476272.21.peg.3114.RUMHYD_00108
476272.5.peg.91	476272.21.peg.3115.RUMHYD_00109
476272.5.peg.92	476272.21.peg.3116.RUMHYD_00110
476272.5.peg.93	476272.21.peg.3117.RUMHYD_00111
476272.5.peg.94	476272.21.peg.3118.RUMHYD_00112
476272.5.peg.95	476272.21.peg.3119.RUMHYD_00113
476272.5.peg.96	476272.21.peg.3120.RUMHYD_00114
476272.5.peg.97	476272.21.peg.3122.RUMHYD_00116
476272.5.peg.98	476272.21.peg.3125.RUMHYD_00119
476272.5.peg.99	476272.21.peg.3126.RUMHYD_00120
476272.5.peg.100	476272.21.peg.3127.RUMHYD_00121
476272.5.peg.329	476272.21.peg.3129.RUMHYD_00123
476272.5.peg.330	476272.21.peg.3130.RUMHYD_00124
476272.5.peg.331	476272.21.peg.3131.RUMHYD_00125
476272.5.peg.332	476272.21.peg.3132.RUMHYD_00126
476272.5.peg.333	476272.21.peg.3133.RUMHYD_00127
476272.5.peg.334	476272.21.peg.3134.RUMHYD_00128
476272.5.peg.335	476272.21.peg.3135.RUMHYD_00129
476272.5.peg.336	476272.21.peg.3136.RUMHYD_00130
476272.5.peg.337	476272.21.peg.3137.RUMHYD_00131
476272.5.peg.338	476272.21.peg.3138.RUMHYD_00132
476272.5.peg.340	476272.21.peg.3139.RUMHYD_00133
476272.5.peg.341	476272.21.peg.3140.RUMHYD_00135
476272.5.peg.342	476272.21.peg.3141.RUMHYD_00136
476272.5.peg.343	476272.21.peg.3142.RUMHYD_00137
476272.5.peg.345	476272.21.peg.3143.RUMHYD_00138
476272.5.peg.346	476272.21.peg.3145.RUMHYD_00139
476272.5.peg.347	476272.21.peg.3146.RUMHYD_00140
476272.5.peg.348	476272.21.peg.3147.RUMHYD_00141
476272.5.peg.349	476272.21.peg.3148.RUMHYD_00142
476272.5.peg.350	476272.21.peg.3149.RUMHYD_00143
476272.5.peg.351	476272.21.peg.3150.RUMHYD_00144
